clip,frames,dur_s,jl_viol,jl_viol_deg,jl_max_range_pct,jl_atlim_pct,jl_worst_joint,jl_worst_joint_atlim_pct,jl_worst_joint_range_pct,slip_foot_max_cm,slip_foot_p95_cm,slip_foot_time_s,contact_foot_pct,slip_hand_max_cm,slip_hand_p95_cm,slip_hand_time_s,contact_hand_pct,grnd_pen_plant_cm,grnd_pen_plant_pct,grnd_pen_any_cm,grnd_pen_any_pct,foot_float_max_cm,foot_float_mean_cm,coll_pct,peak_pen_cm
kneelingFall_02,490,4.0833,0,0.0000,91.3030,32.6531,RIGHT_ANKLE_X,32.6531,49.5936,0.6508,0.2974,0.0000,57.7551,0.0000,0.0000,0.0000,0.0000,2.1295,15.5477,13.2472,100.0000,0.0138,0.0028,34.0816,1.4779
kneelingFall_03,587,4.8917,0,0.0000,92.2815,56.0477,RIGHT_KNEE_Y,56.0477,92.2815,4.7906,2.0315,0.8250,99.1482,0.0000,0.0000,0.0000,0.0000,0.8907,7.9387,15.8848,71.0392,0.1730,0.0267,60.9881,1.0791
luigi_standProne_03,802,6.6833,0,0.0000,89.2096,56.7332,LEFT_WRIST_Z,50.4988,73.7808,3.8757,1.3884,0.2500,50.1247,3.8369,3.7190,0.9583,14.3392,0.6224,13.0027,9.9687,25.1870,1.2291,0.3510,7.9800,2.6377
luigi_standSupine_08,1163,9.6917,0,0.0000,97.8626,84.0069,NECK_Y,60.4471,49.8337,4.2793,0.8829,0.1333,33.3620,1.0511,0.7987,0.0167,16.6810,0.7851,2.1390,13.7723,65.2623,1.2129,0.4378,23.4738,2.1982
shovel_fronthard_02,3835,31.9583,0,0.0000,65.3515,78.2008,LEFT_GRIPPER_Z,77.8357,49.4218,2.1469,0.5615,0.3833,91.4472,0.0000,0.0000,0.0000,0.0000,2.2604,3.3823,3.9301,11.9426,1.4434,0.2605,0.0000,0.0000
shovel_leftbucket_02,2084,17.3667,0,0.0000,86.2421,22.6008,RIGHT_SHOULDER_Z,10.5086,86.2421,2.5937,1.0765,0.7833,82.2457,0.0000,0.0000,0.0000,0.0000,2.1174,17.8595,5.0982,45.4415,1.9012,0.3779,0.0000,0.0000
shovel_lefthard_01,3893,32.4417,0,0.0000,62.5467,5.2659,LEFT_ANKLE_X,2.9026,47.7004,2.4589,0.4689,0.3667,96.1469,0.0000,0.0000,0.0000,0.0000,3.3102,4.7704,3.6297,12.8179,0.5035,0.0991,0.0000,0.0000
shovel_rightbucket_01,4323,36.0250,0,0.0000,89.5704,25.8617,RIGHT_GRIPPER_Z,19.1302,89.5704,3.3203,0.7408,0.3500,89.5443,0.0000,0.0000,0.0000,0.0000,1.3908,5.4046,2.8869,20.3100,1.8301,0.2167,0.0000,0.0000
shovel_righthard_01,3927,32.7250,0,0.0000,81.8271,28.6733,RIGHT_WRIST_X,14.8205,22.6224,2.8312,0.4956,0.2583,94.1940,0.0000,0.0000,0.0000,0.0000,2.3077,4.9520,2.8502,14.1329,0.8103,0.1210,0.0000,0.0000
standupFromKneeling_01,611,5.0917,0,0.0000,80.7005,100.0000,LEFT_SHOULDER_Z,90.9984,21.3904,0.6700,0.5853,0.0000,42.3895,0.0000,0.0000,0.0000,0.0000,3.6324,20.4023,7.5893,67.5941,1.6979,0.9211,72.5041,0.9143
standupFromKneeling_02,623,5.1917,0,0.0000,82.1089,21.1878,LEFT_WRIST_X,21.1878,7.2931,2.0994,1.0899,0.3750,94.5425,0.0000,0.0000,0.0000,0.0000,0.9920,32.3944,1.9550,47.3515,0.9715,0.2724,62.4398,1.3626
standupKnees_02,562,4.6833,0,0.0000,90.0605,0.0000,-,0.0000,33.4083,1.5318,1.3029,0.3417,49.6441,0.0000,0.0000,0.0000,0.0000,0.0504,0.0000,6.6918,65.4804,1.2472,0.2808,26.5125,0.4172
standupSquatCrouch_01,608,5.0667,0,0.0000,100.0000,100.0000,LEFT_SHOULDER_Z,70.2303,0.7909,2.6009,2.3489,0.9917,84.5395,0.0000,0.0000,0.0000,0.0000,1.6160,24.6914,1.6172,39.6382,4.9067,0.4990,0.0000,0.0000
standup_01,1159,9.6583,0,0.0000,85.0860,36.5833,NECK_Y,23.5548,53.2767,0.6508,0.5729,0.0000,19.9310,3.1182,1.5017,0.8000,45.1251,0.4875,0.0000,11.3294,28.0414,1.0201,0.3864,9.5772,0.5538
standup_02,1153,9.6083,0,0.0000,97.1020,38.5950,NECK_Y,38.5950,49.7324,1.0394,0.7343,0.0167,17.2593,5.5304,2.3828,1.2417,45.7069,0.2795,0.0000,12.9670,18.3868,0.4346,0.1702,0.0000,0.0000
standup_natural_01,658,5.4833,0,0.0000,96.9364,79.9392,NECK_Y,52.2796,49.2499,0.7377,0.7245,0.0000,3.0395,1.8388,1.4987,0.0917,12.0061,0.0000,0.0000,9.3202,62.3100,1.5883,0.9377,2.5836,0.1327
standup_natural_02,1087,9.0583,0,0.0000,98.3587,48.2061,NECK_Y,48.2061,49.7618,2.9215,2.9123,1.1583,16.2833,2.2581,1.1487,0.2583,34.9586,8.0937,47.0588,12.7159,67.2493,0.5446,0.1217,4.2318,0.7620
standup_side_04,1519,12.6583,0,0.0000,97.8352,57.1429,NECK_Y,49.3746,49.9965,1.5739,1.5024,0.2333,24.8190,1.5219,1.0815,0.2000,22.9098,3.2637,4.0936,26.0367,28.1106,2.3220,0.1215,3.8841,2.3796
standup_side_05,1323,11.0250,0,0.0000,94.5908,62.6606,NECK_Y,62.6606,49.8500,3.7607,0.9810,0.1083,24.4898,2.7155,1.2895,0.1917,24.4142,1.9211,3.5144,26.5931,41.0431,0.3084,0.0926,16.6289,1.0135
standup_slideHandsBack_03,884,7.3667,0,0.0000,100.0000,82.3529,NECK_Y,64.0271,47.5695,1.7607,1.7606,0.1750,2.3756,1.5091,1.1962,0.2250,22.7376,3.0223,100.0000,11.5608,60.1810,0.0000,0.0000,0.4525,0.0229
