clip,frames,dur_s,jl_viol,jl_viol_deg,jl_max_range_pct,jl_atlim_pct,jl_worst_joint,jl_worst_joint_atlim_pct,jl_worst_joint_range_pct,slip_foot_max_cm,slip_foot_p95_cm,slip_foot_time_s,contact_foot_pct,slip_hand_max_cm,slip_hand_p95_cm,slip_hand_time_s,contact_hand_pct,grnd_pen_plant_cm,grnd_pen_plant_pct,grnd_pen_any_cm,grnd_pen_any_pct,foot_float_max_cm,foot_float_mean_cm,coll_pct,peak_pen_cm
kneelingFall_02,490,4.0833,0,0.0000,91.3047,32.6531,RIGHT_ANKLE_X,32.6531,49.5934,0.6508,0.2975,0.0000,57.7551,0.0000,0.0000,0.0000,0.0000,2.1297,15.5477,13.2466,100.0000,0.0138,0.0028,34.0816,1.4779
kneelingFall_03,587,4.8917,0,0.0000,92.1920,56.0477,RIGHT_KNEE_Y,56.0477,92.1920,4.7945,2.0315,0.8250,99.1482,0.0000,0.0000,0.0000,0.0000,0.8905,8.0780,15.8665,71.2095,0.1486,0.0219,60.9881,1.3545
luigi_standProne_03,802,6.6833,0,0.0000,100.0000,63.7157,LEFT_GRIPPER_Z,56.2344,29.4358,5.0676,1.0844,0.2083,49.1272,4.5869,4.5706,0.9833,14.7132,0.5957,1.6260,2.5759,7.7307,1.3393,0.3684,6.6085,2.4697
luigi_standSupine_08,1163,9.6917,0,0.0000,97.8626,84.0069,NECK_Y,60.4471,49.8337,4.2793,0.8829,0.1333,33.3620,1.0511,0.7987,0.0167,16.6810,0.7851,2.1390,13.7723,65.2623,1.2129,0.4378,23.4738,2.1982
shovel_fronthard_02,3835,31.9583,0,0.0000,65.3675,76.5580,LEFT_GRIPPER_Z,76.5580,49.5139,2.5817,0.4694,0.5083,95.7757,0.0000,0.0000,0.0000,0.0000,3.3274,8.9011,4.4617,14.7588,0.5585,0.0964,0.0000,0.0000
shovel_leftbucket_02,2084,17.3667,0,0.0000,81.5175,8.2534,RIGHT_WRIST_X,4.0307,24.5537,2.3955,1.0947,1.1250,94.9616,0.0000,0.0000,0.0000,0.0000,3.1224,7.5083,3.1224,16.0749,0.8984,0.2378,0.0000,0.0000
shovel_lefthard_01,3893,32.4417,0,0.0000,62.3333,3.0568,LEFT_WRIST_Z,2.1063,48.4370,2.3311,0.4060,0.2750,96.3011,0.0000,0.0000,0.0000,0.0000,3.2542,5.5625,3.5100,13.8967,0.6666,0.1427,0.0000,0.0000
shovel_rightbucket_01,4323,36.0250,0,0.0000,90.1978,24.8901,RIGHT_GRIPPER_Z,19.1302,90.1978,3.4594,0.7402,0.5917,97.0622,0.0000,0.0000,0.0000,0.0000,2.3020,7.3484,2.3020,14.9202,1.4313,0.2158,0.0000,0.0000
shovel_righthard_01,3927,32.7250,0,0.0000,82.5008,31.9837,RIGHT_WRIST_X,14.2857,22.5941,1.9178,0.4203,0.2583,97.0206,0.0000,0.0000,0.0000,0.0000,2.6861,4.6997,2.6861,11.6628,0.7990,0.1427,0.0000,0.0000
standupFromKneeling_01,611,5.0917,0,0.0000,80.7005,100.0000,LEFT_SHOULDER_Z,90.9984,21.3903,0.6701,0.5854,0.0000,42.3895,0.0000,0.0000,0.0000,0.0000,3.6325,20.4023,7.5894,67.5941,1.6979,0.9211,72.5041,0.9143
standupFromKneeling_02,623,5.1917,0,0.0000,82.0294,21.3483,LEFT_WRIST_X,21.3483,6.9895,2.0657,1.1021,0.3833,92.1348,0.0000,0.0000,0.0000,0.0000,0.8305,15.2833,1.7582,24.7191,1.0517,0.3001,66.6132,1.4676
standupKnees_02,562,4.6833,0,0.0000,90.0605,0.0000,-,0.0000,33.4083,1.5318,1.3029,0.3417,49.6441,0.0000,0.0000,0.0000,0.0000,0.0504,0.0000,6.6918,65.4804,1.2472,0.2808,26.5125,0.4172
